DetectorType,DetID
8,2283389327
8,2182713538
8,2316954051
8,2249857416
8,2249742828
8,2215724399
8,2249725129
8,2182710644
8,2182698536
8,2249364741
8,2249411976
8,2182088228
8,2249758795
8,2148567123
8,2316439012
8,2182698438
8,2215824812
8,2282887275
8,2249300134
8,2317178977
8,2182141441
8,2149222035
8,2249818570
8,2215778440
8,2282793032
8,2316340367
8,2316475779
8,2249739528
8,2149190964
8,2249873538
8,2249854154
8,2182646408
8,2282901608
8,2249230798
8,2216333707
8,2249886081
8,2249805966
8,2182712690
8,2283509966
8,2148585847
8,2249934222
8,2182795842
8,2249244898
8,2249280579
8,2283293800
8,2182780565
8,2283004970
8,2216302817
8,2149061814
8,2182760480
8,2316570639
8,2149058219
8,2149089320
8,2249869731
8,2249265326
8,2316566603
8,2317146507
8,2182644135
8,2282805603
8,2149142259
8,2249759213
8,2249787556
8,2182218259
8,2316838318
8,2182743670
8,2216264770
8,2216247627
8,2149221580
8,2215775693
8,2182187180
8,2316884226
8,2283068743
8,2182206613
8,2215772320
8,2148615409
8,2149222927
8,2215741674
8,2249217409
8,2216350089
8,2316854671
8,2148602450
8,2182255176
8,2249195810
8,2149224599
8,2283557318
8,2316492038
8,2182776837
8,2216315136
8,2283333775
8,2182681097
8,2249234853
8,2249267649
8,2316538242
8,2249381893
8,2148535401
8,2149123091
8,2283361665
8,2215823497
8,2216217674
8,2249248965
8,2182780305
8,2149177005
8,2215792971
8,2317009283
8,2283050310
8,2182204492
8,2149193195
8,2148717863
8,2182793682
8,2317159462
8,2215679109
8,2316517706
8,2148631860
8,2148633732
8,2148696308
8,2216302701
8,2249382376
8,2249282824
8,2283622564
8,2316930470
8,2249873487
8,2215792070
8,2182615041
8,2148600874
8,2283593898
8,2316590574
8,2249294951
8,2216199393
8,2249823471
8,2148601065
8,2182188483
8,2182746583
8,2182729076
8,2249869639
8,2148553251
8,2283592736
8,2215842946
8,2182709750
8,2182731437
8,2283096110
8,2316567973
8,2182778069
8,2182763045
8,2149143829
8,2148619521
8,2216268171
8,2216349926
8,2182612138
8,2249344130
8,2182186115
8,2148618275
8,2148647443
8,2283397419
8,2182156545
8,2316978447
8,2283038176
8,2215695814
8,2182108497
8,2216217764
8,2316881286
8,2249198604
8,2283374913
8,2148696814
8,2182629805
8,2316652617
8,2316885006
8,2316901709
8,2215728517
8,2182760490
8,2316511456
8,2148533485
8,2149124454
8,2182760710
8,2249396481
8,2249310407
8,2148647401
8,2316538026
8,2216267235
8,2216221090
8,2283000910
8,2148550035
8,2283562029
8,2283414854
8,2316980239
8,2182250604
8,2215708842
8,2283411560
8,2249905227
8,2182777975
8,2216281419
8,2182235310
8,2282957167
8,2216281344
8,2216334567
8,2283034983
8,2215793098
8,2149094422
8,2283488425
8,2249264619
8,2317159757
8,2317091200
8,2148664010
8,2182254828
8,2282881483
8,2149191756
8,2249720102
8,2215776461
8,2283065769
8,2215643393
8,2148533815
8,2216181869
8,2316847496
8,2182267392
8,2316618057
8,2316339456
8,2182173419
8,2282997095
8,2216316001
8,2249902154
8,2215645219
8,2148716679
8,2249883853
8,2317046785
8,2148553973
8,2182644010
8,2283627533
8,2215691498
8,2317112384
8,2182633168
8,2249380865
8,2182693902
8,2283028871
8,2316651757
8,2182645008
8,2249918464
8,2316443907
8,2316912938
8,2282792238
8,2249806181
8,2182089385
8,2216296549
8,2317166056
8,2283477122
8,2149141078
8,2216236194
8,2148630855
8,2182693911
8,2182646979
8,2283496838
8,2215826572
8,2282768677
8,2215855232
8,2249819503
8,2249753001
8,2282818821
8,2148603507
8,2182679049
8,2148614279
8,2182679265
8,2249818467
8,2215854245
8,2182238583
8,2316621061
8,2317074914
8,2249932974
8,2215804995
8,2182271351
8,2216186089
8,2249884997
8,2316894697
8,2317156777
8,2316870724
8,2316900481
8,2249834852
8,2249770220
8,2317077540
8,2283310279
8,2215841065
8,2216187980
8,2215712073
8,2249310376
8,2182726272
8,2216283341
8,2148633269
8,2249332835
8,2317052263
8,2283454560
8,2317050889
8,2249344358
8,2316624129
8,2249296968
8,2249724966
8,2283578824
8,2149192289
8,2316846313
8,2316638593
8,2149076589
8,2283479296
8,2182239726
8,2216383564
8,2182119783
8,2215807177
8,2316320842
8,2282853640
8,2148553001
8,2182154451
8,2215823469
8,2216319401
8,2216333441
8,2149056906
8,2316325901
8,2182105283
8,2215806092
8,2249414827
8,2249379178
8,2317127012
8,2215761193
8,2182709461
8,2216383844
8,2316396898
8,2215641218
8,2249722242
8,2148680098
8,2149157924
8,2283556134
8,2148602414
8,2149060834
8,2283430146
8,2182122838
8,2316828804
8,2215811360
8,2148616783
8,2182268080
8,2249820578
